Numero_identifiant,Question,Interet_scientifique_question,Typologie_question,Source_ideale_chercheuse,Reponse_ideale_chercheuse
1.0,"Question confidentielle sans contexte”,20240627_XXXX_Prénom_Nom_entretien_FR_1,"Réponse confidentielle idéale"
2.0,"Question confidentielle avec contexte",reconstitution du dialogue d'un entretien,intervieweur_avec contexte,20240627_XXXX_Prénom_Nom_entretien_FR_1,"Réponse confidentielle idéale."
4.0,"D'après les 19 fichiers fournis, peux-tu me dire qui est Alan Turing ?",information absente à identifier,hors-sujet_avec contexte,,"Alan Turing n'est pas mentionné dans ces documents, donc je ne peux pas répondre à votre question."
5.0,Quelles personnes interviewées ont leur entretien en anglais et non en français ?,langue de l'entretien,recherche dans métadonnées des fichiers uniquement_sans contexte,"20240611_XXXX_Prénom_Nom_entretien_AN_meta, 20240626_XXXX_Prénom_Nom_entretien_AN_meta, 20241003_XXXX_Prénom_Nom_entretien_AN_meta","Les personnes interviewées qui ont leur entretien en anglais et non en français sont Prénom Nom, Prénom Nom et Prénom Nom."
6.0,"D'après les 19 fichiers fournis, peux-tu me dire  quelles personnes interviewées ont leur entretien en anglais et non en français ?",langue de l'entretien,recherche dans métadonnées des fichiers uniquement_avec_contexte,"20240611_XXXX_Prénom_Nom_entretien_AN_meta, 20240626_XXXX_Prénom_Nom_entretien_AN_meta, 20241003_XXXX_Prénom_Nom_entretien_AN_meta","Les personnes interviewées qui ont leur entretien en anglais et non en français sont Prénom Nom, Prénom Nom et Prénom Nom."
7.0,De quelle origine est Prénom Nom ?,diversité de l'origine des collaborateurs de l'entreprise,recherche dans textes des fichiers et métadonnées des fichiers_simple_mot des textes attendu dans la réponse générée_sans contexte,20240611_XXXX_Prénom_Nom_entretien_FR_1,Prénom Nom est d'origine XXXX.
8.0,"D'après le fichier 20240611_XXXX_Prénom_Nom_entretien_FR fourni, peux-tu me dire de quelle origine est Prénom Nom ?",diversité de l'origine des collaborateurs de l'entreprise,recherche dans textes des fichiers et métadonnées des fichiers_simple_mot des textes attendu dans la réponse générée_avec contexte,20240611_XXXX_Prénom_Nom_entretien_FR_1,Prénom Nom est d'origine XXXX.
9.0,Quel était le premier produit d'XXXX ?,premier produit de l'entreprise,recherche dans textes des fichiers et métadonnées des fichiers_simple_mot des textes attendu dans la réponse générée_sans contexte,20240611_XXXX_Prénom_Nom_entretien_FR_5,Le premier produit d'XXXX était XXXXX.
10.0,"D'après les 19 fichiers fournis, peux-tu me dire quel était le premier produit d'XXXX ?",premier produit de l'entreprise,recherche dans textes des fichiers et métadonnées des fichiers_simple_mot des textes attendu dans la réponse générée_avec contexte,20240611_XXXX_Prénom_Nom_entretien_FR_5,Le premier produit d'XXXX était XXXXX.
11.0,Quelles personnes interviewées parlent du XXXXX ?,valeurs de l'entreprise,recherche dans textes des fichiers et métadonnées des fichiers_simple_métadonnées des fichiers  attendues dans la réponse générée_sans contexte,"20240610_XXXX_Prénom_Nom_entretien_FR_21, 20240626_XXXX_Prénom_Nom_entretien_FR_16, 20240626_XXXX_Prénom_Nom_entretien_FR_17, 20240626_XXXX_Prénom_Nom_entretien_FR_18, 20241003_XXXX_Prénom_Nom_entretien_AN_7","Les personnes interviewées qui parlent du XXXXX sont Prénom Nom, Prénom Nom, Prénom Nom et Prénom Nom."
